candidate_id,layer,rank,segment_a,endpoint_a,segment_b,endpoint_b,distance_px,tangent_mismatch_deg,score,status,confidence,reason_code,notes,reviewed_utc
R_S03E_S04E,red,1,3,end,4,end,5.845912080248906,11.73852345311035,6.227147502797922,accepted,high,occlusion_supported,Continuation across the blue centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
R_S06S_S07S,red,2,6,start,7,start,6.45506230566368,4.102237415163531,6.602174517372044,accepted,high,occlusion_supported,Continuation across the green centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
R_S05E_S06E,red,3,5,end,6,end,7.6759552369721336,24.28884892011604,8.711733665129854,accepted,high,occlusion_supported,Continuation across the blue centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
R_S02E_S03S,red,4,2,end,3,start,7.731070674233935,37.89536415493672,9.358691443720865,accepted,high,occlusion_supported,Continuation across the green centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
R_S04S_S05S,red,5,4,start,5,start,9.12883190172762,10.698421462567076,9.671410185869897,accepted,high,occlusion_supported,Continuation across the green centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
G_S03S_S04S,green,1,3,start,4,start,4.475815484355887,6.89942861558945,4.647374203416239,accepted,high,occlusion_supported,Continuation across the blue centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
G_S10E_S11S,green,2,10,end,11,start,4.475849438933347,12.808900826039842,4.794353392131032,accepted,high,occlusion_supported,Continuation across the black upper-right dimple-boundary line at a locally occluded crossing.,2026-07-27T17:20:02+00:00
G_S06E_S07E,green,3,6,end,7,end,5.251084909806732,4.075268678306676,5.369971475695977,accepted,high,occlusion_supported,Continuation across the blue centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
G_S04E_S05S,green,4,4,end,5,start,5.989184071307203,15.648342717233508,6.509855209887264,accepted,high,occlusion_supported,Continuation across the blue centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
G_S05E_S06S,green,5,5,end,6,start,6.03232232311901,25.010392748502763,6.870493159156606,accepted,high,occlusion_supported,Continuation across the red centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
B_S01E_S02E,blue,1,1,end,2,end,5.375353497212996,4.102237415163745,5.49785892074632,accepted,high,occlusion_supported,Continuation across the green centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
B_S02S_S03S,blue,2,2,start,3,start,6.455129572673188,16.845424155888516,7.059237326189296,accepted,high,occlusion_supported,Continuation across the red centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
B_S03E_S04S,blue,3,3,end,4,start,6.95087247257494,15.265285485676099,7.540356098510405,accepted,high,occlusion_supported,Continuation across the green centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
B_S05E_S06S,blue,4,5,end,6,start,7.088552602612188,14.528087398656227,7.6606810011717545,accepted,high,occlusion_supported,Continuation across the red centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
B_S04E_S05S,blue,5,4,end,5,start,7.583291930289906,12.222453378402482,8.098216552916483,accepted,high,occlusion_supported,Continuation across the green centreline at a locally occluded central crossing.,2026-07-27T17:20:02+00:00
